district;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Central Slovakia;16.20;14.45;12.35;15.65;11.51;19.09;15.02;14.12;14.08;12.31;13.77;14.25;14.60;8.21;15.27;14.96;10.15;12.53;10.67;14.08;13.78
Region of Žilina;15.88;15.05;12.99;16.82;10.80;19.39;15.44;14.37;14.29;12.01;14.33;14.07;14.91;8.83;15.76;16.90;11.54;13.54;11.38;16.12;15.28
District of Bytča;14.28;13.42;14.42;11.13;10.20;20.14;16.52;13.34;13.42;18.14;13.77;4.62;4.66;1.54;4.12;6.33;6.11;5.90;4.38;4.03;6.00
District of Čadca;13.36;9.74;14.85;10.31;6.80;18.31;12.17;20.39;13.79;1.64;9.47;9.00;10.26;1.67;16.71;14.57;10.38;12.30;10.56;14.89;15.52
District of Dolný Kubín;14.71;14.83;13.62;18.66;11.81;19.83;18.31;11.40;10.18;11.79;11.48;12.42;12.72;8.07;9.22;13.22;12.16;10.76;11.26;13.66;13.53
District of Kysucké Nové Mesto;13.15;17.93;16.49;6.23;8.36;15.08;16.98;5.05;12.92;4.61;15.15;6.25;10.72;5.89;15.23;9.34;8.34;10.37;10.31;14.38;16.33
District of Liptovský Mikuláš;20.27;19.79;13.71;22.65;13.36;20.46;16.38;20.28;20.10;18.68;19.33;19.77;23.45;13.13;25.45;24.10;17.28;17.83;15.35;21.15;19.34
District of Martin;15.98;15.98;12.63;16.89;13.96;21.28;12.12;14.56;9.00;11.53;12.52;10.77;12.18;3.59;10.35;10.27;10.06;9.12;8.17;8.14;9.14
District of Námestovo;15.77;15.08;15.73;17.92;9.14;19.32;16.63;13.94;8.57;8.75;9.43;13.46;10.13;8.54;13.84;10.15;7.72;11.12;8.38;7.83;7.75
District of Ružomberok;20.07;21.25;13.39;16.97;8.63;23.97;15.62;13.55;19.70;18.59;22.45;19.82;21.82;12.38;21.73;22.83;9.30;21.14;14.53;25.69;15.80
District of Turčianske Teplice;15.52;16.00;8.05;14.58;12.96;14.69;13.12;14.46;18.88;10.28;13.80;16.22;10.77;9.32;17.39;13.47;5.31;6.29;3.40;12.23;10.63
District of Tvrdošín;15.74;16.75;11.10;18.67;9.24;19.86;16.17;8.58;16.33;13.59;18.78;15.68;14.11;10.52;9.96;19.07;14.78;13.50;14.35;21.95;21.09
District of Žilina;13.06;8.92;10.04;16.45;9.22;16.27;13.80;8.79;11.80;9.26;5.00;6.45;16.41;6.13;20.97;23.22;11.41;16.11;6.43;12.21;16.80
Region of Banská Bystrica;17.05;13.04;10.97;13.24;13.11;18.38;14.08;13.56;13.65;12.94;12.88;14.59;;7.06;14.51;11.66;7.75;10.77;9.41;10.59;11.32
District of Banská Bystrica;17.36;16.44;9.78;19.02;13.30;19.10;18.33;23.49;18.81;15.84;17.45;18.13;13.05;6.84;15.57;13.41;6.76;5.77;9.41;9.41;11.00
District of Banská Štiavnica;19.58;4.42;8.32;10.42;8.33;18.13;4.13;4.15;6.24;4.19;4.27;2.93;12.47;1.09;4.63;8.33;5.87;4.15;3.49;3.65;6.28
District of Brezno;17.77;12.68;10.28;15.59;13.81;23.86;13.11;14.06;15.24;15.85;14.32;17.34;16.60;5.77;12.99;12.16;6.43;11.75;8.49;12.33;8.76
District of Detva;18.74;17.63;8.00;11.32;10.48;11.06;10.45;9.25;9.34;10.21;8.76;10.37;11.03;6.68;9.86;10.12;4.13;9.61;7.85;7.22;8.84
District of Krupina;19.03;18.53;10.40;6.60;11.43;14.85;4.44;10.96;14.77;7.13;6.64;9.23;4.35;6.75;17.00;10.76;5.58;7.49;4.12;4.07;8.49
District of Lučenec;14.67;8.50;11.19;3.75;10.18;18.85;14.37;9.54;9.51;7.54;8.60;6.66;11.13;11.46;21.92;5.31;6.14;5.81;7.24;4.70;10.08
District of Poltár;16.62;21.28;13.96;16.36;11.18;15.81;7.06;5.53;7.91;5.19;7.24;8.45;8.67;6.75;10.88;9.14;6.01;8.51;7.33;5.85;7.33
District of Revúca;14.72;4.40;11.49;23.18;10.60;19.10;14.72;12.90;8.05;4.35;7.86;10.54;18.74;0.80;15.53;4.54;14.09;7.71;10.98;20.83;17.43
District of Rimavská Sobota;15.43;8.83;9.31;11.54;14.44;19.60;15.53;15.24;16.40;10.34;11.25;10.03;13.03;4.91;15.48;11.92;10.54;15.58;11.61;12.74;14.92
District of Veľký Krtíš;14.93;15.22;16.67;10.65;17.05;19.50;16.99;18.67;16.81;15.04;14.70;16.29;15.27;8.77;16.55;14.64;12.96;15.44;15.06;15.20;15.75
District of Zvolen;23.88;19.72;7.34;17.56;14.98;20.01;14.12;6.89;9.48;8.72;11.05;14.20;9.98;1.08;13.52;13.94;9.36;5.30;5.54;29.66;10.52
District of Žarnovica;19.99;9.27;10.75;7.32;9.52;19.75;18.08;13.19;4.80;19.09;19.81;16.31;24.37;15.42;20.40;12.09;4.64;12.18;12.73;10.06;11.24
District of Žiar nad Hronom;13.80;10.17;6.99;13.71;10.72;16.83;15.15;6.13;21.67;24.86;20.09;19.64;14.25;7.99;18.34;23.86;14.08;19.45;8.03;20.87;17.48
East Slovakia;13.42;13.84;12.61;16.69;11.23;17.08;14.75;13.73;12.95;12.42;16.34;14.18;16.41;8.33;18.66;17.03;14.96;15.55;15.00;17.67;17.75
Region of Prešov;13.56;14.74;13.01;18.00;11.34;16.95;15.21;12.67;12.44;12.00;17.34;13.97;16.53;8.24;18.69;16.49;15.03;15.46;15.44;17.75;18.46
District of Bardejov;13.79;15.88;14.72;20.29;10.46;19.86;18.06;17.30;12.05;10.78;18.67;10.54;12.58;8.35;18.58;11.11;11.94;9.12;15.86;15.90;17.67
District of Humenné;13.05;7.88;12.12;11.96;10.29;13.17;15.36;4.10;5.87;4.42;12.30;10.85;13.43;8.79;10.94;8.25;5.48;10.24;6.19;9.02;8.11
District of Kežmarok;13.76;19.07;13.79;20.92;12.26;19.46;14.22;15.02;15.02;13.18;18.82;18.23;18.90;12.47;18.63;20.41;14.08;13.76;18.36;19.43;20.75
District of Levoča;13.65;17.42;15.51;19.28;13.69;17.46;18.59;13.93;14.45;12.18;15.86;16.82;14.19;4.82;14.96;13.99;12.62;14.72;11.55;15.37;12.60
District of Medzilaborce;14.00;8.66;12.70;18.47;7.28;6.90;9.74;9.80;15.90;15.90;15.87;15.92;15.90;8.83;20.79;4.09;4.30;4.21;17.54;4.00;4.00
District of Poprad;16.00;17.32;10.76;22.64;15.73;19.04;14.69;14.13;16.35;14.52;20.15;18.27;18.80;8.43;22.11;21.48;14.36;11.41;15.36;21.70;17.74
District of Prešov;15.00;17.28;15.04;19.26;11.44;17.43;21.50;18.39;24.17;22.87;22.86;21.20;23.47;10.22;26.14;21.24;20.56;23.89;19.72;26.16;28.58
District of Sabinov;12.16;9.94;12.88;13.09;9.37;18.07;13.18;11.91;8.14;9.42;12.90;9.21;10.88;5.26;8.57;9.55;11.67;8.88;10.44;10.88;12.97
District of Snina;14.07;10.67;11.41;14.58;7.98;4.00;4.00;4.00;7.33;7.57;10.81;8.66;8.51;6.68;9.68;6.65;13.48;15.20;5.07;7.43;8.16
District of Stará Ľubovňa;11.71;15.71;11.83;15.19;10.02;17.93;15.24;12.46;6.87;11.12;16.74;17.80;17.00;10.54;19.51;18.25;23.55;14.13;15.33;20.14;18.75
District of Stropkov;10.69;5.27;7.20;12.30;8.20;14.74;7.46;5.53;3.98;4.45;17.90;5.19;8.83;2.80;5.41;6.65;6.63;5.64;3.29;6.85;10.47
District of Svidník;12.86;7.87;11.99;13.04;10.19;19.67;11.94;10.84;6.81;5.73;12.01;4.20;15.16;2.41;10.26;13.72;4.38;20.00;24.62;4.70;4.53
District of Vranov nad Topľou;12.33;10.12;11.98;12.21;9.97;19.80;14.65;8.99;7.57;8.00;16.22;6.66;16.05;4.15;17.33;12.95;12.68;16.35;10.07;12.00;13.40
Region of Košice;12.94;11.53;11.66;13.05;10.90;17.36;13.85;16.11;14.02;13.35;13.84;14.95;;8.70;18.55;18.53;14.76;15.81;13.54;17.37;15.42
District of Gelnica;16.00;14.07;12.20;18.00;9.41;9.90;9.89;6.00;26.41;12.86;9.95;17.60;8.33;4.83;3.83;19.70;19.29;25.39;18.54;10.80;17.49
District of Košice I-IV and Košice - okolie;13.12;8.32;14.37;15.91;12.01;18.10;14.97;20.06;24.00;12.59;14.43;14.80;14.93;10.18;23.09;20.27;15.30;15.93;13.38;16.43;14.58
District of Michalovce;13.74;6.41;7.87;6.68;9.88;13.27;15.80;16.22;7.57;12.03;14.62;14.87;14.81;6.10;20.80;15.64;12.49;18.34;12.89;18.78;18.62
District of Rožňava;11.54;12.14;10.27;11.53;11.40;12.64;7.15;9.12;8.09;14.18;11.30;13.66;11.90;10.02;13.31;12.06;10.86;17.22;8.28;8.67;10.64
District of Sobrance;14.36;17.40;14.70;9.32;9.46;22.70;14.50;11.23;6.19;17.91;13.24;8.18;14.70;3.82;3.92;16.56;10.00;6.12;4.50;14.03;5.38
District of Spišská Nová Ves;13.10;17.14;12.13;18.28;13.29;21.23;13.91;14.54;15.14;14.14;17.06;17.67;17.90;7.21;17.11;17.97;12.49;11.20;11.80;14.51;14.52
District of Trebišov;12.10;8.09;8.85;7.49;9.10;16.41;12.25;16.85;12.77;12.62;11.30;12.05;20.43;11.80;16.99;20.15;21.00;21.87;19.09;24.29;18.56
