district;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Central Slovakia;3.52;3.64;2.73;2.18;1.94;3.02;2.48;3.75;3.47;3.14;2.94;4.18;3.46;2.73;3.82;3.39;3.51;4.98;4.21;4.95;4.31
Region of Žilina;3.04;3.37;3.13;2.33;3.41;3.15;2.96;3.66;2.87;3.08;3.12;3.97;3.75;3.05;4.03;3.85;3.89;4.52;4.37;4.95;4.58
District of Bytča;2.60;2.75;3.44;1.90;3.62;2.89;3.59;3.91;2.15;2.13;2.67;3.72;3.54;3.28;3.88;3.60;3.42;3.99;3.95;;4.02
District of Čadca;2.45;2.37;2.43;1.41;2.40;1.19;1.19;2.19;2.46;2.55;2.24;3.29;2.64;2.51;1.26;1.43;2.07;2.10;2.30;2.32;4.28
District of Dolný Kubín;2.77;2.99;2.91;2.44;2.84;2.94;2.52;3.18;2.21;2.79;2.95;3.19;3.51;2.64;3.64;3.72;3.31;3.89;4.08;4.66;4.46
District of Kysucké Nové Mesto;2.16;2.59;2.90;2.81;2.40;2.69;3.97;2.39;1.99;1.67;2.05;1.40;2.65;1.27;2.27;2.12;2.36;1.22;1.60;;3.76
District of Liptovský Mikuláš;3.53;4.13;3.58;2.76;0.00;3.63;3.76;4.09;3.18;3.65;4.00;4.39;4.30;3.63;4.43;4.45;4.40;4.82;4.46;5.20;4.92
District of Martin;3.10;3.54;3.32;2.29;0.00;3.20;2.92;3.86;2.92;3.36;2.91;4.11;3.37;3.07;3.97;3.68;3.53;4.74;4.58;5.20;4.94
District of Námestovo;2.57;2.44;2.64;1.87;0.00;3.14;2.11;3.16;2.71;2.67;2.95;3.10;3.19;2.56;2.99;3.17;3.37;3.58;3.90;3.95;3.46
District of Ružomberok;3.21;4.03;3.66;2.64;0.01;3.23;3.55;4.42;3.21;3.36;3.26;4.49;4.38;2.92;3.94;4.59;4.29;4.97;4.24;5.55;5.20
District of Turčianske Teplice;3.64;3.57;2.99;2.49;0.00;3.19;2.84;3.86;3.11;3.01;3.01;4.58;4.45;3.47;4.71;4.25;4.42;5.06;5.10;5.08;4.75
District of Tvrdošín;3.14;3.52;3.61;2.97;0.00;3.36;2.38;3.20;2.38;2.73;3.43;3.08;2.79;2.35;3.56;3.43;2.99;3.58;3.55;4.03;3.68
District of Žilina;2.31;2.63;2.39;1.76;0.00;2.38;2.00;2.61;2.34;2.30;1.92;3.08;3.02;2.22;3.56;3.27;3.82;4.35;3.97;5.14;4.15
Region of Banská Bystrica;3.68;3.73;2.59;2.13;3.09;2.99;2.36;3.77;3.62;3.15;2.90;4.23;3.39;2.65;3.76;3.28;3.40;5.12;4.16;4.96;4.23
District of Banská Bystrica;3.83;4.17;2.59;2.57;3.78;2.79;2.64;3.78;3.32;3.13;3.00;4.26;3.82;2.60;3.61;3.94;3.07;4.73;3.93;4.82;3.61
District of Banská Štiavnica;3.53;3.70;2.16;1.77;3.04;2.75;1.47;2.63;1.76;2.39;2.23;4.24;2.51;1.51;1.74;2.69;2.10;3.44;1.57;4.11;2.26
District of Brezno;3.01;3.23;2.36;2.45;3.87;2.23;2.90;3.65;3.00;2.62;2.87;3.31;3.67;2.26;3.06;3.49;3.10;4.06;3.63;4.15;4.21
District of Detva;2.85;3.50;2.18;1.68;3.00;3.32;2.69;3.44;3.23;3.30;3.14;4.49;3.56;2.85;3.53;2.83;2.37;3.15;3.25;3.07;3.50
