2019-04-18 17:07.57 STOP predict_per_district      region=Region(district_name='Trenčín', region_name='Trenčiansky', area=674811863.0, geometry=<ee.geometry.Geometry object at 0x11c208b00>)
2019-04-18 17:07.57 START predict_per_district     region=Region(district_name='Komárno', region_name='Nitriansky', area=1100133357.0, geometry=<ee.geometry.Geometry object at 0x11c208ba8>)
2019-04-18 17:08.42 STOP predict_per_district      region=Region(district_name='Komárno', region_name='Nitriansky', area=1100133357.0, geometry=<ee.geometry.Geometry object at 0x11c208ba8>)
2019-04-18 17:08.42 START predict_per_district     region=Region(district_name='Levice', region_name='Nitriansky', area=1551104906.0, geometry=<ee.geometry.Geometry object at 0x11c208c88>)
2019-04-18 17:09.41 STOP predict_per_district      region=Region(district_name='Levice', region_name='Nitriansky', area=1551104906.0, geometry=<ee.geometry.Geometry object at 0x11c208c88>)
2019-04-18 17:09.41 START predict_per_district     region=Region(district_name='Nitra', region_name='Nitriansky', area=870719944.0, geometry=<ee.geometry.Geometry object at 0x11c1b9438>)
2019-04-18 17:10.19 STOP predict_per_district      region=Region(district_name='Nitra', region_name='Nitriansky', area=870719944.0, geometry=<ee.geometry.Geometry object at 0x11c1b9438>)
2019-04-18 17:10.19 START predict_per_district     region=Region(district_name='Nové Zámky', region_name='Nitriansky', area=1347064780.0, geometry=<ee.geometry.Geometry object at 0x11c208e10>)
2019-04-18 17:11.14 STOP predict_per_district      region=Region(district_name='Nové Zámky', region_name='Nitriansky', area=1347064780.0, geometry=<ee.geometry.Geometry object at 0x11c208e10>)
2019-04-18 17:11.14 START predict_per_district     region=Region(district_name='Šaľa', region_name='Nitriansky', area=355900088.0, geometry=<ee.geometry.Geometry object at 0x11c208eb8>)
2019-04-18 17:11.32 STOP predict_per_district      region=Region(district_name='Šaľa', region_name='Nitriansky', area=355900088.0, geometry=<ee.geometry.Geometry object at 0x11c208eb8>)
2019-04-18 17:11.32 START predict_per_district     region=Region(district_name='Topoľčany', region_name='Nitriansky', area=597633732.0, geometry=<ee.geometry.Geometry object at 0x11c208f60>)
2019-04-18 17:12.01 STOP predict_per_district      region=Region(district_name='Topoľčany', region_name='Nitriansky', area=597633732.0, geometry=<ee.geometry.Geometry object at 0x11c208f60>)
2019-04-18 17:12.01 START predict_per_district     region=Region(district_name='Zlaté Moravce', region_name='Nitriansky', area=521176585.0, geometry=<ee.geometry.Geometry object at 0x11d85c048>)
2019-04-18 17:12.24 STOP predict_per_district      region=Region(district_name='Zlaté Moravce', region_name='Nitriansky', area=521176585.0, geometry=<ee.geometry.Geometry object at 0x11d85c048>)
2019-04-18 17:12.24 START predict_per_district     region=Region(district_name='Bytča', region_name='Žilinský', area=281518791.0, geometry=<ee.geometry.Geometry object at 0x11d85c0f0>)
2019-04-18 17:12.39 STOP predict_per_district      region=Region(district_name='Bytča', region_name='Žilinský', area=281518791.0, geometry=<ee.geometry.Geometry object at 0x11d85c0f0>)
2019-04-18 17:12.39 START predict_per_district     region=Region(district_name='Čadca', region_name='Žilinský', area=760617232.0, geometry=<ee.geometry.Geometry object at 0x11d85c198>)
2019-04-18 17:13.10 STOP predict_per_district      region=Region(district_name='Čadca', region_name='Žilinský', area=760617232.0, geometry=<ee.geometry.Geometry object at 0x11d85c198>)
2019-04-18 17:13.10 START predict_per_district     region=Region(district_name='Dolný Kubín', region_name='Žilinský', area=491838833.0, geometry=<ee.geometry.Geometry object at 0x11d85c240>)
2019-04-18 17:13.32 STOP predict_per_district      region=Region(district_name='Dolný Kubín', region_name='Žilinský', area=491838833.0, geometry=<ee.geometry.Geometry object at 0x11d85c240>)
2019-04-18 17:13.32 START predict_per_district     region=Region(district_name='Kysucké Nové Mesto', region_name='Žilinský', area=173683180.0, geometry=<ee.geometry.Geometry object at 0x11d85c2e8>)
2019-04-18 17:13.46 STOP predict_per_district      region=Region(district_name='Kysucké Nové Mesto', region_name='Žilinský', area=173683180.0, geometry=<ee.geometry.Geometry object at 0x11d85c2e8>)
2019-04-18 17:13.46 START predict_per_district     region=Region(district_name='Liptovský Mikuláš', region_name='Žilinský', area=1341034378.0, geometry=<ee.geometry.Geometry object at 0x11d85c390>)
2019-04-18 17:14.38 STOP predict_per_district      region=Region(district_name='Liptovský Mikuláš', region_name='Žilinský', area=1341034378.0, geometry=<ee.geometry.Geometry object at 0x11d85c390>)
2019-04-18 17:14.38 START predict_per_district     region=Region(district_name='Martin', region_name='Žilinský', area=735711545.0, geometry=<ee.geometry.Geometry object at 0x11d85c470>)
2019-04-18 17:15.07 STOP predict_per_district      region=Region(district_name='Martin', region_name='Žilinský', area=735711545.0, geometry=<ee.geometry.Geometry object at 0x11d85c470>)
2019-04-18 17:15.07 START predict_per_district     region=Region(district_name='Námestovo', region_name='Žilinský', area=690455235.0, geometry=<ee.geometry.Geometry object at 0x11d85c518>)
2019-04-18 17:15.44 STOP predict_per_district      region=Region(district_name='Námestovo', region_name='Žilinský', area=690455235.0, geometry=<ee.geometry.Geometry object at 0x11d85c518>)
2019-04-18 17:15.44 START predict_per_district     region=Region(district_name='Ružomberok', region_name='Žilinský', area=646798629.0, geometry=<ee.geometry.Geometry object at 0x11d85c5c0>)
2019-04-18 17:16.14 STOP predict_per_district      region=Region(district_name='Ružomberok', region_name='Žilinský', area=646798629.0, geometry=<ee.geometry.Geometry object at 0x11d85c5c0>)
2019-04-18 17:16.14 START predict_per_district     region=Region(district_name='Turčianske Teplice', region_name='Žilinský', area=392860227.0, geometry=<ee.geometry.Geometry object at 0x11d85c668>)
2019-04-18 17:16.35 STOP predict_per_district      region=Region(district_name='Turčianske Teplice', region_name='Žilinský', area=392860227.0, geometry=<ee.geometry.Geometry object at 0x11d85c668>)
2019-04-18 17:16.35 START predict_per_district     region=Region(district_name='Tvrdošín', region_name='Žilinský', area=478920302.0, geometry=<ee.geometry.Geometry object at 0x11d85c710>)
2019-04-18 17:17.01 STOP predict_per_district      region=Region(district_name='Tvrdošín', region_name='Žilinský', area=478920302.0, geometry=<ee.geometry.Geometry object at 0x11d85c710>)
2019-04-18 17:17.01 START predict_per_district     region=Region(district_name='Žilina', region_name='Žilinský', area=815076682.0, geometry=<ee.geometry.Geometry object at 0x11d85c7b8>)
2019-04-18 17:17.34 STOP predict_per_district      region=Region(district_name='Žilina', region_name='Žilinský', area=815076682.0, geometry=<ee.geometry.Geometry object at 0x11d85c7b8>)
2019-04-18 17:17.34 START predict_per_district     region=Region(district_name='Banská Bystrica', region_name='Banskobystrický', area=809430920.0, geometry=<ee.geometry.Geometry object at 0x11d85c860>)
2019-04-18 17:18.09 STOP predict_per_district      region=Region(district_name='Banská Bystrica', region_name='Banskobystrický', area=809430920.0, geometry=<ee.geometry.Geometry object at 0x11d85c860>)
2019-04-18 17:18.09 START predict_per_district     region=Region(district_name='Banská Štiavnica', region_name='Banskobystrický', area=292296416.0, geometry=<ee.geometry.Geometry object at 0x11d85c908>)
2019-04-18 17:18.28 STOP predict_per_district      region=Region(district_name='Banská Štiavnica', region_name='Banskobystrický', area=292296416.0, geometry=<ee.geometry.Geometry object at 0x11d85c908>)
2019-04-18 17:18.28 START predict_per_district     region=Region(district_name='Brezno', region_name='Banskobystrický', area=1265211046.0, geometry=<ee.geometry.Geometry object at 0x11d85c9e8>)
2019-04-18 17:19.17 STOP predict_per_district      region=Region(district_name='Brezno', region_name='Banskobystrický', area=1265211046.0, geometry=<ee.geometry.Geometry object at 0x11d85c9e8>)
2019-04-18 17:19.17 START predict_per_district     region=Region(district_name='Detva', region_name='Banskobystrický', area=449172078.0, geometry=<ee.geometry.Geometry object at 0x11d85cac8>)
2019-04-18 17:19.37 STOP predict_per_district      region=Region(district_name='Detva', region_name='Banskobystrický', area=449172078.0, geometry=<ee.geometry.Geometry object at 0x11d85cac8>)
2019-04-18 17:19.37 START predict_per_district     region=Region(district_name='Krupina', region_name='Banskobystrický', area=584899600.0, geometry=<ee.geometry.Geometry object at 0x11d85cba8>)
2019-04-18 17:20.07 STOP predict_per_district      region=Region(district_name='Krupina', region_name='Banskobystrický', area=584899600.0, geometry=<ee.geometry.Geometry object at 0x11d85cba8>)
2019-04-18 17:20.07 START predict_per_district     region=Region(district_name='Lučenec', region_name='Banskobystrický', area=825553363.0, geometry=<ee.geometry.Geometry object at 0x11d85cc50>)
2019-04-18 17:20.40 STOP predict_per_district      region=Region(district_name='Lučenec', region_name='Banskobystrický', area=825553363.0, geometry=<ee.geometry.Geometry object at 0x11d85cc50>)
2019-04-18 17:20.40 START predict_per_district     region=Region(district_name='Poltár', region_name='Banskobystrický', area=476302263.0, geometry=<ee.geometry.Geometry object at 0x11c1a3cf8>)
2019-04-18 17:21.04 STOP predict_per_district      region=Region(district_name='Poltár', region_name='Banskobystrický', area=476302263.0, geometry=<ee.geometry.Geometry object at 0x11c1a3cf8>)
2019-04-18 17:21.04 START predict_per_district     region=Region(district_name='Revúca', region_name='Banskobystrický', area=730123621.0, geometry=<ee.geometry.Geometry object at 0x11d85cda0>)
2019-04-18 17:21.27 STOP predict_per_district      region=Region(district_name='Revúca', region_name='Banskobystrický', area=730123621.0, geometry=<ee.geometry.Geometry object at 0x11d85cda0>)
2019-04-18 17:21.27 START predict_per_district     region=Region(district_name='Rimavská Sobota', region_name='Banskobystrický', area=1471073878.0, geometry=<ee.geometry.Geometry object at 0x11d85ce48>)
2019-04-18 17:22.26 STOP predict_per_district      region=Region(district_name='Rimavská Sobota', region_name='Banskobystrický', area=1471073878.0, geometry=<ee.geometry.Geometry object at 0x11d85ce48>)
2019-04-18 17:22.26 START predict_per_district     region=Region(district_name='Veľký Krtíš', region_name='Banskobystrický', area=848182084.0, geometry=<ee.geometry.Geometry object at 0x11d85cef0>)
2019-04-18 17:22.58 STOP predict_per_district      region=Region(district_name='Veľký Krtíš', region_name='Banskobystrický', area=848182084.0, geometry=<ee.geometry.Geometry object at 0x11d85cef0>)
2019-04-18 17:22.58 START predict_per_district     region=Region(district_name='Zvolen', region_name='Banskobystrický', area=759021066.0, geometry=<ee.geometry.Geometry object at 0x11d85cfd0>)
2019-04-18 17:23.33 STOP predict_per_district      region=Region(district_name='Zvolen', region_name='Banskobystrický', area=759021066.0, geometry=<ee.geometry.Geometry object at 0x11d85cfd0>)
2019-04-18 17:23.33 START predict_per_district     region=Region(district_name='Žarnovica', region_name='Banskobystrický', area=425087956.0, geometry=<ee.geometry.Geometry object at 0x11e76d0b8>)
2019-04-18 17:23.52 STOP predict_per_district      region=Region(district_name='Žarnovica', region_name='Banskobystrický', area=425087956.0, geometry=<ee.geometry.Geometry object at 0x11e76d0b8>)
2019-04-18 17:23.52 START predict_per_district     region=Region(district_name='Žiar nad Hronom', region_name='Banskobystrický', area=517659600.0, geometry=<ee.geometry.Geometry object at 0x11e76d160>)
2019-04-18 17:24.24 STOP predict_per_district      region=Region(district_name='Žiar nad Hronom', region_name='Banskobystrický', area=517659600.0, geometry=<ee.geometry.Geometry object at 0x11e76d160>)
2019-04-18 17:24.24 START predict_per_district     region=Region(district_name='Bardejov', region_name='Prešovský', area=935985087.0, geometry=<ee.geometry.Geometry object at 0x11e76d208>)
2019-04-18 17:25.11 STOP predict_per_district      region=Region(district_name='Bardejov', region_name='Prešovský', area=935985087.0, geometry=<ee.geometry.Geometry object at 0x11e76d208>)
2019-04-18 17:25.11 START predict_per_district     region=Region(district_name='Humenné', region_name='Prešovský', area=754238069.0, geometry=<ee.geometry.Geometry object at 0x11e76d2b0>)
