2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Banská Bystrica', region_name='Banskobystrický', area=809430920.0, geometry=<ee.geometry.Geometry object at 0x11feb49b0>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Banská Štiavnica', region_name='Banskobystrický', area=292296416.0, geometry=<ee.geometry.Geometry object at 0x11feb4a58>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Brezno', region_name='Banskobystrický', area=1265211046.0, geometry=<ee.geometry.Geometry object at 0x11feb4b38>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Detva', region_name='Banskobystrický', area=449172078.0, geometry=<ee.geometry.Geometry object at 0x11feb4c18>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Krupina', region_name='Banskobystrický', area=584899600.0, geometry=<ee.geometry.Geometry object at 0x11feb4cf8>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Lučenec', region_name='Banskobystrický', area=825553363.0, geometry=<ee.geometry.Geometry object at 0x11feb4da0>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Poltár', region_name='Banskobystrický', area=476302263.0, geometry=<ee.geometry.Geometry object at 0x11e950d68>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Revúca', region_name='Banskobystrický', area=730123621.0, geometry=<ee.geometry.Geometry object at 0x11feb4ef0>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Rimavská Sobota', region_name='Banskobystrický', area=1471073878.0, geometry=<ee.geometry.Geometry object at 0x11feb4f98>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Veľký Krtíš', region_name='Banskobystrický', area=848182084.0, geometry=<ee.geometry.Geometry object at 0x120cd5080>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Zvolen', region_name='Banskobystrický', area=759021066.0, geometry=<ee.geometry.Geometry object at 0x120cd5160>)
2019-04-18 17:44.33 START predict_per_district     region=Region(district_name='Žarnovica', region_name='Banskobystrický', area=425087956.0, geometry=<ee.geometry.Geometry object at 0x120cd5208>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Žiar nad Hronom', region_name='Banskobystrický', area=517659600.0, geometry=<ee.geometry.Geometry object at 0x120cd52b0>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Bardejov', region_name='Prešovský', area=935985087.0, geometry=<ee.geometry.Geometry object at 0x120cd5358>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Humenné', region_name='Prešovský', area=754238069.0, geometry=<ee.geometry.Geometry object at 0x120cd5400>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Kežmarok', region_name='Prešovský', area=629867590.0, geometry=<ee.geometry.Geometry object at 0x120cd54a8>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Levoča', region_name='Prešovský', area=421001569.0, geometry=<ee.geometry.Geometry object at 0x120cd5550>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Medzilaborce', region_name='Prešovský', area=427252072.0, geometry=<ee.geometry.Geometry object at 0x120cd55f8>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Poprad', region_name='Prešovský', area=1104688836.0, geometry=<ee.geometry.Geometry object at 0x120cd56d8>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Prešov', region_name='Prešovský', area=933954989.0, geometry=<ee.geometry.Geometry object at 0x120cd5780>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Sabinov', region_name='Prešovský', area=545448530.0, geometry=<ee.geometry.Geometry object at 0x120cd5860>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Snina', region_name='Prešovský', area=804744186.0, geometry=<ee.geometry.Geometry object at 0x120cd5940>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Stará Ľubovňa', region_name='Prešovský', area=707866759.0, geometry=<ee.geometry.Geometry object at 0x11e993eb8>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Stropkov', region_name='Prešovský', area=388931630.0, geometry=<ee.geometry.Geometry object at 0x120cd5a90>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Svidník', region_name='Prešovský', area=549607373.0, geometry=<ee.geometry.Geometry object at 0x120cd5b38>)
2019-04-18 17:44.34 START predict_per_district     region=Region(district_name='Vranov nad Topľou', region_name='Prešovský', area=769233414.0, geometry=<ee.geometry.Geometry object at 0x120cd5be0>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Gelnica', region_name='Košický', area=584310115.0, geometry=<ee.geometry.Geometry object at 0x120cd5cc0>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Michalovce', region_name='Košický', area=1019236154.0, geometry=<ee.geometry.Geometry object at 0x120cd5e80>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Rožňava', region_name='Košický', area=1173348104.0, geometry=<ee.geometry.Geometry object at 0x120cd5f28>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Sobrance', region_name='Košický', area=538167833.0, geometry=<ee.geometry.Geometry object at 0x120cd5fd0>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Spišská Nová Ves', region_name='Košický', area=587459110.0, geometry=<ee.geometry.Geometry object at 0x121d080b8>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Trebišov', region_name='Košický', area=1073469994.0, geometry=<ee.geometry.Geometry object at 0x121d08160>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Bratislava I-V', region_name='Bratislavský', area=367627172.0, geometry=<ee.geometry.Geometry object at 0x121d08470>)
2019-04-18 17:44.35 START predict_per_district     region=Region(district_name='Košice I-IV and Košice - okolie', region_name='Košický', area=1778333031.0, geometry=<ee.geometry.Geometry object at 0x121d087b8>)
2019-04-18 17:44.44 STOP predict_per_district      region=Region(district_name='Pezinok', region_name='Bratislavský', area=375539629.0, geometry=<ee.geometry.Geometry object at 0x11e993a90>)
2019-04-18 17:44.51 STOP predict_per_district      region=Region(district_name='Piešťany', region_name='Trnavský', area=381115771.0, geometry=<ee.geometry.Geometry object at 0x1128395c0>)
2019-04-18 17:44.53 STOP predict_per_district      region=Region(district_name='Myjava', region_name='Trenčiansky', area=327421905.0, geometry=<ee.geometry.Geometry object at 0x11225f160>)
2019-04-18 17:44.53 STOP predict_per_district      region=Region(district_name='Senec', region_name='Bratislavský', area=359883925.0, geometry=<ee.geometry.Geometry object at 0x11e993b70>)
2019-04-18 17:44.57 STOP predict_per_district      region=Region(district_name='Skalica', region_name='Trnavský', area=357081962.0, geometry=<ee.geometry.Geometry object at 0x1061dc518>)
2019-04-18 17:44.58 STOP predict_per_district      region=Region(district_name='Nové Mesto nad Váhom', region_name='Trenčiansky', area=579985077.0, geometry=<ee.geometry.Geometry object at 0x11225f438>)
2019-04-18 17:45.01 STOP predict_per_district      region=Region(district_name='Banská Štiavnica', region_name='Banskobystrický', area=292296416.0, geometry=<ee.geometry.Geometry object at 0x11feb4a58>)
